PDBsource,Smiles,rmvDumSmiles,ECscore,posResidues,negResidues
6SCM_L7H_A,[6*]Oc1c([30*])c([H])c2c(N([9*])[H])nc(C([H])([H])[H])nc2c1[H],[H]Oc1c([H])c([H])c2c(N([H])[H])nc(C([H])([H])[H])nc2c1[H],-2.19669017147218,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*][C@@]([18*])([H])c1c([H])c([28*])c([H])c(C(F)(F)F)c1[H],[H]c1c([H])c(C([H])([H])[H])c([H])c(C(F)(F)F)c1[H],3.0129912913828547,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([18*])([H])c1c([H])c([21*])c([H])c(N([H])[H])c1[H],[H]c1c([H])c(N([H])[H])c([H])c(C([H])([H])[H])c1[H],1.162261297892757,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([18*])([H])c1c([H])c(N([H])[H])c([H])c(C([24*])(F)F)c1[H],[H]c1c(N([H])[H])c([H])c(C([H])(F)F)c([H])c1C([H])([H])[H],2.2479125177814505,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([18*])([H])c1c([H])c(N([H])[H])c([H])c(C([25*])(F)F)c1[H],[H]c1c(N([H])[H])c([H])c(C([H])(F)F)c([H])c1C([H])([H])[H],2.2086915963109797,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([18*])([H])c1c([H])c(N([H])[H])c([H])c(C([26*])(F)F)c1[H],[H]c1c(N([H])[H])c([H])c(C([H])(F)F)c([H])c1C([H])([H])[H],2.2300129818028362,TRP35,TRP35
6SCM_L7H_A,[9*]N([H])c1nc(C([H])([H])[H])nc2c([H])c([31*])c(O[15*])c([H])c12,[H]Oc1c([H])c([H])c2nc(C([H])([H])[H])nc(N([H])[H])c2c1[H],-2.1178886262590133,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[9*]N([H])c1nc(C([H])([H])[H])nc2c([H])c([31*])c([30*])c([H])c12,[H]c1c([H])c([H])c2c(N([H])[H])nc(C([H])([H])[H])nc2c1[H],-1.777773287079489,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c([21*])c([H])c([28*])c1[H])C([H])([H])[H],[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1[H],0.17956821710185994,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c([28*])c([H])c(C([24*])(F)F)c1[H])C([H])([H])[H],[H]c1c([H])c(C([H])(F)F)c([H])c(C([H])([H])C([H])([H])[H])c1[H],1.2652194369905538,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c([28*])c([H])c(C([25*])(F)F)c1[H])C([H])([H])[H],[H]c1c([H])c(C([H])(F)F)c([H])c(C([H])([H])C([H])([H])[H])c1[H],1.225998515520083,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c([28*])c([H])c(C([26*])(F)F)c1[H])C([H])([H])[H],[H]c1c([H])c(C([H])(F)F)c([H])c(C([H])([H])C([H])([H])[H])c1[H],1.2473199010119396,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C([24*])([25*])F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1C([H])([H])F,0.46091974191867896,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C([24*])([26*])F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1C([H])([H])F,0.48224112741053554,TRP35,TRP35
6SCM_L7H_A,[4*][C@@]([H])(c1c([H])c(N([H])[H])c([H])c(C([25*])([26*])F)c1[H])C([H])([H])[H],[H]c1c(N([H])[H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c1C([H])([H])F,0.4430202059400647,TRP35,TRP35
6SCM_L7H_A,[5*]c1nc(N([H])[C@]([10*])([H])C([H])([H])[H])c2c([H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c(O[6*])c([H])c2n1,[H]Oc1c(O[C@]2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c2c(N([H])C([H])([H])C([H])([H])[H])nc([H])nc2c1[H],-4.54374597129818,TYR36,"TRP35,TYR36"
6SCM_L7H_A,[5*]c1nc(N([H])[C@@]([10*])([18*])[H])c2c([H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c(OC([H])([H])[H])c([H])c2n1,[H]c1nc(N([H])C([H])([H])[H])c2c([H])c(O[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])c(OC([H])([H])[H])c([H])c2n1,-1.9432742803727525,TYR36,"TRP35,TYR36"
