Smiles,ligandSmile
*C([3*])(F)c1cc(N)cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C([3*])(F)c1cc(N)cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([7*])cc([23*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H]([8*])[9*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H]([8*])NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc(N)cc([C@@H]([8*])N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([23*])cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([23*])cc([C@@H](C)NC([11*])=O)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
*C(F)(F)c1cc([23*])cc([C@@H](C)N[10*])c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])([4*])F,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc([7*])cc(N)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
[2*]C([3*])(F)c1cc(N)cc([C@H]([9*])C)c1,C[C@@H](NC(=O)c1ccc2nc[nH]c2c1)c1cc(N)cc(C(F)(F)F)c1
